chapter	offset	kind	stage	page_idx	label	reason	image
chap01	976	G	block	2	欠落		block/chap01_gray300_content_list_b20_p2.png
chap01	2227	G	block	2	欠落		block/chap01_gray300_content_list_b33_p2.png
chap01	8729	G	block	9	欠落		block/chap01_gray300_content_list_b100_p9.png
chap01	8767	G	block	9	欠落		block/chap01_gray300_content_list_b100_p9.png
chap01	8958	G	block	9	欠落		block/chap01_gray300_content_list_b101_p9.png
chap01	11080	G	block	11	欠落		block/chap01_gray300_content_list_b124_p11.png
chap01	11146	G	block	11	欠落		block/chap01_gray300_content_list_b124_p11.png
chap01	11304	G	block	11	欠落		block/chap01_gray300_content_list_b124_p11.png
chap01	17542	G	block	16	欠落		block/chap01_gray300_content_list_b206_p16.png
chap01	17806	G	block	17	欠落		block/chap01_gray300_content_list_b208_p17.png
chap01	18572	G	page	17	欠落		page/chap01_gray300_content_list_b207_p17.png
chap01	19685	G	block	18	欠落		block/chap01_gray300_content_list_b229_p18.png
chap01	20454	G	block	19	欠落		block/chap01_gray300_content_list_b238_p19.png
chap02	1100	G	page	2	欠落		page/chap02_gray300_content_list_b14_p2.png
chap02	20941	G	block	16	欠落		block/chap02_gray300_content_list_b266_p16.png
chap03	9212	G	block	6	欠落		block/chap03_gray300_content_list_b108_p6.png
chap03	18378	G	page	17	欠落		page/chap03_gray300_content_list_b243_p17.png
chap03	23649	G	block	20	欠落		block/chap03_gray300_content_list_b307_p20.png
chap03	23673	G	block	20	欠落		block/chap03_gray300_content_list_b307_p20.png
chap03	25275	G	block	22	欠落		block/chap03_gray300_content_list_b331_p22.png
chap03	25897	G	page	22	欠落		page/chap03_gray300_content_list_b331_p22.png
chap03	26738	G	page	23	欠落		page/chap03_gray300_content_list_b340_p23.png
chap03	44592	G	block	35	欠落		block/chap03_gray300_content_list_b555_p35.png
chap03	44638	G	block	35	欠落		block/chap03_gray300_content_list_b555_p35.png
chap04	5807	G	block	6	欠落		block/chap04_gray300_content_list_b79_p6.png
chap04	23798	G	block	22	欠落		block/chap04_gray300_content_list_b323_p22.png
chap04	50391	G	block	43	欠落		block/chap04_gray300_content_list_b641_p43.png
chap04	62956	G	block	51	欠落		block/chap04_gray300_content_list_b799_p51.png
chap04	8831	G	page	10	欠落		page/chap04_gray300_content_list_b117_p10.png
chap03	9369	G	none	-1	判定不能	no_page	
chap05	4016	G	none	-1	判定不能	no_page	
chap05	3057	G	page	2	欠落		page/chap05_gray300_content_list_b38_p2.png
chap05	4539	G	block	3	欠落		block/chap05_gray300_content_list_b63_p3.png
chap05	16369	G	page	8	欠落		page/chap05_gray300_content_list_b170_p8.png
chap05	16379	G	block	8	欠落		block/chap05_gray300_content_list_b190_p8.png
